                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3327,                 2.0322,                 1.3205,                0.54939,                0.40731,                 0.3911,                0.23953,                 1.3638,                 1.5892,                 1.3268,               0.070129,               0.003319,               0.003319
                      2,                 1.2985,                 1.5749,                 1.2638,                0.59845,                0.36572,                0.38274,                 0.2321,                 1.4404,                 1.6465,                 1.3746,               0.040096,              0.0066194,              0.0066194
                      3,                 1.3866,                 1.6529,                 1.3055,                0.43433,                0.32259,                0.28723,                0.15657,                 1.7084,                 2.7069,                 1.5046,                0.01003,              0.0098868,              0.0098868
                      4,                 1.5195,                  1.809,                  1.385,                0.45599,                0.34318,                0.31409,                0.17205,                  1.688,                 2.1086,                 1.5699,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5637,                 1.8393,                 1.4078,                0.43981,                 0.3288,                0.28344,                  0.156,                 1.6932,                 2.3967,                 1.5476,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5527,                 1.8115,                 1.4121,                0.46702,                0.35017,                0.31585,                0.17255,                 1.6238,                 2.0441,                 1.5063,               0.009802,               0.009802,               0.009802
                      7,                 1.5458,                 1.7874,                 1.4152,                0.53882,                0.37466,                0.35621,                0.20187,                 1.6061,                 1.9698,                  1.477,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5177,                  1.734,                 1.3885,                0.48566,                0.36572,                0.33028,                0.18966,                 1.5783,                 1.9686,                   1.45,               0.009703,               0.009703,               0.009703
                      9,                 1.5086,                 1.7091,                 1.3902,                0.53185,                0.37001,                0.36671,                0.20638,                 1.5708,                 1.8881,                 1.4499,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4678,                 1.6812,                  1.373,                 0.5581,                0.38204,                0.38419,                0.22022,                 1.5499,                 1.9215,                 1.4419,               0.009604,               0.009604,               0.009604
                     11,                 1.4695,                 1.6759,                 1.3775,                0.52194,                0.40886,                0.39032,                0.22639,                 1.5479,                 1.7067,                 1.4482,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4286,                  1.635,                 1.3494,                0.51165,                0.38982,                0.36682,                0.20767,                  1.564,                 1.7703,                 1.4502,               0.009505,               0.009505,               0.009505
                     13,                 1.4317,                 1.6041,                 1.3461,                0.52534,                0.40004,                0.38675,                0.23038,                 1.4727,                 1.8381,                 1.3876,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3959,                 1.5778,                 1.3206,                0.56711,                0.40187,                0.39942,                0.23601,                 1.4879,                 1.6408,                 1.3992,               0.009406,               0.009406,               0.009406
                     15,                 1.4016,                 1.5855,                 1.3263,                0.53814,                0.40847,                0.39623,                0.22959,                 1.4929,                 1.6965,                 1.3916,              0.0093565,              0.0093565,              0.0093565
                     16,                   1.38,                 1.5595,                 1.3279,                0.58582,                0.38515,                0.39702,                0.23314,                 1.4754,                 1.7125,                 1.3982,               0.009307,               0.009307,               0.009307
                     17,                 1.3821,                 1.5455,                  1.324,                0.56649,                0.41586,                0.40964,                0.23962,                 1.4752,                 1.6392,                 1.3949,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3761,                 1.5483,                 1.3097,                0.57465,                0.38671,                0.39334,                0.22946,                   1.49,                 1.6947,                 1.4063,               0.009208,               0.009208,               0.009208
                     19,                 1.3637,                 1.5245,                  1.303,                0.58567,                0.40653,                0.42199,                0.25696,                  1.438,                 1.6562,                 1.3948,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3516,                 1.5381,                 1.3084,                0.58523,                 0.4007,                0.40789,                0.24727,                 1.4378,                 1.5871,                 1.3706,               0.009109,               0.009109,               0.009109
                     21,                 1.3398,                  1.493,                 1.3039,                 0.5684,                0.41869,                0.42768,                0.25148,                 1.4236,                 1.6533,                 1.3552,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3265,                 1.4613,                 1.2903,                0.57712,                0.41469,                0.42378,                0.25811,                  1.437,                 1.5505,                 1.3795,                0.00901,                0.00901,                0.00901
                     23,                 1.3314,                 1.4615,                 1.2955,                0.60287,                 0.4071,                0.42468,                 0.2541,                 1.4485,                 1.5825,                 1.3823,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3009,                 1.4208,                 1.2815,                0.60004,                0.40731,                 0.4265,                0.25475,                 1.4306,                 1.5342,                 1.3781,               0.008911,               0.008911,               0.008911
                     25,                 1.2951,                 1.4359,                 1.2883,                0.60655,                0.41042,                0.43192,                0.25923,                 1.4232,                 1.5837,                 1.3764,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3027,                 1.4274,                 1.2821,                 0.5893,                0.41508,                0.41998,                0.25182,                 1.4198,                 1.5922,                 1.3689,               0.008812,               0.008812,               0.008812
                     27,                  1.301,                 1.4367,                 1.2751,                0.59421,                0.41935,                0.43935,                0.27243,                 1.3813,                 1.5786,                 1.3189,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2684,                 1.3617,                 1.2571,                0.58308,                0.41908,                0.42421,                0.25696,                 1.4138,                 1.6358,                 1.3602,               0.008713,               0.008713,               0.008713
                     29,                 1.2841,                 1.3848,                 1.2681,                0.59238,                0.41508,                0.42964,                0.26125,                 1.4321,                 1.5377,                 1.3572,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2943,                 1.3954,                 1.2739,                 0.5855,                0.41613,                0.42874,                0.26339,                 1.4079,                 1.6257,                 1.3505,               0.008614,               0.008614,               0.008614
                     31,                 1.2757,                 1.3733,                 1.2509,                0.59539,                0.41974,                0.43928,                0.26696,                 1.3878,                  1.569,                 1.3305,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2569,                 1.3617,                 1.2522,                0.62469,                 0.4349,                0.44654,                0.27426,                 1.3689,                 1.5008,                 1.3258,               0.008515,               0.008515,               0.008515
                     33,                 1.2453,                  1.352,                 1.2494,                0.62579,                0.41353,                0.43929,                0.26693,                 1.3868,                 1.5109,                 1.3434,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2569,                  1.344,                 1.2479,                0.59025,                0.43684,                 0.4438,                0.27446,                 1.3916,                 1.5013,                 1.3413,               0.008416,               0.008416,               0.008416
                     35,                 1.2599,                 1.3616,                 1.2582,                0.60389,                0.42829,                 0.4453,                0.27574,                 1.3722,                 1.5367,                 1.3352,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2414,                  1.327,                 1.2464,                0.60895,                 0.4176,                0.44602,                0.27301,                 1.3772,                 1.5299,                  1.328,               0.008317,               0.008317,               0.008317
                     37,                 1.2393,                 1.3522,                 1.2461,                0.59621,                0.43879,                0.44618,                0.27089,                 1.3846,                 1.4854,                 1.3369,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2549,                  1.335,                 1.2543,                0.61474,                0.42635,                0.44479,                0.27242,                 1.3784,                 1.4999,                 1.3304,               0.008218,               0.008218,               0.008218
                     39,                 1.2379,                 1.3022,                 1.2357,                0.59778,                0.42557,                0.43417,                0.26832,                 1.3687,                 1.5548,                 1.3227,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2272,                 1.3075,                 1.2255,                0.62001,                0.42907,                0.45165,                0.27714,                 1.3669,                 1.4725,                 1.3181,               0.008119,               0.008119,               0.008119
                     41,                 1.2286,                 1.2919,                 1.2202,                0.59663,                0.42441,                 0.4332,                0.26736,                 1.3741,                 1.5735,                 1.3337,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2104,                 1.2707,                 1.2267,                0.60025,                0.43568,                0.44606,                0.27644,                 1.3696,                 1.4899,                 1.3418,                0.00802,                0.00802,                0.00802
                     43,                 1.2102,                 1.2709,                 1.2197,                0.59964,                0.44889,                 0.4539,                 0.2816,                 1.3676,                 1.4716,                 1.3309,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2018,                 1.2503,                 1.2171,                0.59749,                0.46055,                0.45479,                 0.2758,                 1.3695,                 1.5356,                 1.3308,               0.007921,               0.007921,               0.007921
                     45,                 1.1872,                 1.2427,                 1.2189,                0.57529,                0.44889,                0.44452,                0.27479,                 1.3783,                  1.512,                 1.3506,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1729,                 1.2327,                 1.2049,                0.62584,                0.43529,                0.45617,                0.28267,                 1.3715,                 1.4881,                 1.3222,               0.007822,               0.007822,               0.007822
                     47,                 1.2046,                 1.2493,                 1.2164,                0.59767,                0.43451,                0.44056,                0.26634,                 1.3636,                 1.5115,                 1.3254,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1934,                 1.2304,                  1.219,                0.58089,                0.45249,                 0.4503,                0.27921,                 1.3638,                 1.4775,                 1.3433,               0.007723,               0.007723,               0.007723
                     49,                 1.1834,                 1.2305,                 1.2014,                0.61239,                0.44151,                0.44905,                0.27622,                 1.3746,                 1.4662,                 1.3352,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1681,                 1.1993,                 1.1966,                0.56791,                0.44084,                 0.4376,                0.26878,                 1.3547,                  1.507,                  1.321,               0.007624,               0.007624,               0.007624
                     51,                 1.1729,                 1.1904,                 1.1985,                0.61788,                0.43112,                0.45223,                0.27724,                 1.3617,                 1.4811,                  1.331,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.1553,                 1.1843,                 1.1876,                0.60993,                0.44229,                0.45201,                0.28078,                 1.3562,                 1.4542,                 1.3273,               0.007525,               0.007525,               0.007525
                     53,                 1.1654,                 1.1823,                 1.1863,                0.59247,                 0.4555,                  0.455,                0.28287,                 1.3771,                 1.4457,                 1.3354,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1569,                 1.1752,                  1.193,                0.58201,                0.46716,                0.45763,                 0.2803,                 1.3695,                 1.4609,                 1.3318,               0.007426,               0.007426,               0.007426
                     55,                 1.1539,                 1.1722,                 1.1902,                0.58484,                 0.4419,                 0.4507,                0.27961,                  1.348,                 1.4564,                 1.3191,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1571,                 1.1544,                 1.1795,                0.58824,                0.44473,                0.44874,                0.27756,                 1.3569,                 1.4934,                 1.3195,               0.007327,               0.007327,               0.007327
                     57,                 1.1485,                 1.1517,                 1.1873,                0.58129,                0.44838,                0.45466,                0.27869,                 1.3643,                 1.4803,                 1.3149,              0.0072775,              0.0072775,              0.0072775
                     58,                  1.148,                 1.1545,                 1.1783,                0.57968,                0.44734,                0.44939,                0.27944,                 1.3606,                 1.4639,                 1.3241,               0.007228,               0.007228,               0.007228
                     59,                 1.1322,                  1.159,                 1.1746,                0.62323,                 0.4349,                0.44444,                0.27251,                  1.359,                 1.4747,                  1.326,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.1529,                 1.1468,                 1.1873,                0.60576,                 0.4431,                0.45455,                0.27921,                 1.3587,                 1.4722,                 1.3245,               0.007129,               0.007129,               0.007129
                     61,                 1.1487,                 1.1468,                 1.1798,                0.60293,                0.45317,                0.45155,                0.27901,                 1.3448,                 1.4642,                 1.3009,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.1283,                 1.1275,                 1.1707,                0.62003,                0.45345,                0.45531,                0.28187,                 1.3564,                  1.425,                  1.314,                0.00703,                0.00703,                0.00703
                     63,                 1.1156,                 1.1246,                  1.165,                0.61448,                 0.4349,                0.45688,                0.28443,                 1.3461,                 1.4302,                 1.3182,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1277,                 1.1083,                 1.1624,                0.61029,                 0.4349,                 0.4438,                0.27417,                 1.3551,                 1.4838,                 1.3116,               0.006931,               0.006931,               0.006931
                     65,                 1.1275,                  1.113,                 1.1665,                0.62517,                0.44501,                0.45652,                0.28219,                 1.3595,                 1.4332,                 1.3186,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.1186,                 1.1217,                 1.1575,                0.59567,                0.46034,                0.45549,                0.28038,                 1.3551,                 1.4334,                 1.3152,               0.006832,               0.006832,               0.006832
                     67,                  1.125,                 1.0897,                 1.1588,                0.61289,                0.45227,                0.45147,                0.27761,                 1.3606,                 1.4436,                 1.3274,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.121,                 1.0855,                 1.1554,                 0.5924,                0.44617,                0.44422,                 0.2729,                 1.3525,                 1.4509,                 1.3212,               0.006733,               0.006733,               0.006733
                     69,                 1.1206,                 1.0827,                 1.1603,                0.63514,                0.42402,                0.44705,                0.27934,                 1.3449,                 1.4497,                 1.3135,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.1134,                 1.0572,                 1.1572,                0.59114,                 0.4625,                0.44991,                0.27989,                 1.3541,                 1.4508,                 1.3148,               0.006634,               0.006634,               0.006634
                     71,                 1.0899,                 1.0379,                 1.1414,                0.61932,                0.43646,                0.44912,                0.27518,                 1.3608,                 1.4613,                 1.3168,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0886,                 1.0486,                 1.1426,                0.61672,                0.44229,                0.44519,                0.27719,                 1.3483,                 1.4242,                 1.3124,               0.006535,               0.006535,               0.006535
                     73,                 1.1111,                 1.0737,                 1.1551,                0.60549,                0.45667,                0.45167,                0.27744,                  1.347,                 1.4589,                 1.3064,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0751,                 1.0334,                 1.1389,                0.60076,                0.44889,                0.44612,                0.27554,                 1.3562,                 1.4351,                 1.3124,               0.006436,               0.006436,               0.006436
                     75,                 1.1003,                 1.0569,                 1.1404,                 0.6021,                0.45638,                0.45934,                0.28458,                   1.35,                 1.4198,                 1.3188,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0859,                 1.0253,                 1.1372,                0.62719,                 0.4518,                0.46024,                0.28737,                 1.3599,                 1.3991,                 1.3314,               0.006337,               0.006337,               0.006337
                     77,                 1.0888,                 1.0248,                 1.1361,                0.60882,                0.44217,                0.45305,                0.27871,                 1.3583,                 1.4425,                 1.3252,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0736,                 1.0114,                 1.1326,                0.59793,                0.45705,                 0.4543,                0.27932,                 1.3548,                 1.4346,                  1.318,               0.006238,               0.006238,               0.006238
                     79,                 1.0656,                 1.0042,                 1.1283,                0.61621,                0.45084,                0.44739,                 0.2773,                 1.3682,                 1.4485,                 1.3431,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0684,                 1.0033,                 1.1348,                0.60788,                0.46211,                0.45294,                0.27774,                 1.3546,                 1.4092,                 1.3239,               0.006139,               0.006139,               0.006139
                     81,                 1.0581,                0.97865,                 1.1194,                0.59963,                0.46211,                0.45231,                0.27613,                 1.3792,                 1.4341,                 1.3431,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0564,                0.99085,                 1.1299,                0.59813,                0.45045,                0.44628,                0.27623,                 1.3652,                 1.4594,                 1.3367,                0.00604,                0.00604,                0.00604
                     83,                 1.0396,                0.96527,                 1.1158,                0.59987,                0.45511,                0.45236,                0.27924,                 1.3703,                 1.4407,                 1.3387,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0527,                0.96904,                 1.1155,                 0.5883,                0.46172,                0.45265,                0.27923,                 1.3761,                 1.4529,                 1.3224,               0.005941,               0.005941,               0.005941
                     85,                 1.0461,                0.95541,                 1.1116,                 0.5899,                0.45841,                0.44148,                0.27215,                 1.3728,                 1.4662,                 1.3362,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0331,                0.95303,                 1.1083,                0.59756,                0.46055,                0.44875,                0.27607,                 1.3658,                 1.4503,                 1.3375,               0.005842,               0.005842,               0.005842
                     87,                 1.0466,                0.95973,                 1.1149,                0.58286,                0.46104,                0.45265,                0.28291,                 1.3631,                 1.4353,                 1.3521,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0481,                0.94327,                   1.12,                0.59292,                0.44539,                0.44865,                0.27622,                 1.3739,                 1.4609,                 1.3317,               0.005743,               0.005743,               0.005743
                     89,                 1.0354,                0.93369,                 1.1106,                0.59986,                0.43931,                0.44981,                0.28067,                 1.3537,                 1.4426,                 1.3347,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.0331,                0.95187,                 1.1075,                0.61416,                 0.4248,                0.44358,                0.27557,                 1.3672,                  1.454,                 1.3392,               0.005644,               0.005644,               0.005644
                     91,                 1.0396,                0.93699,                 1.1015,                0.59229,                0.46483,                0.45172,                0.27636,                 1.3868,                  1.435,                 1.3445,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.0316,                0.92458,                 1.1047,                0.58035,                0.46493,                 0.4522,                0.27832,                 1.3771,                 1.4363,                  1.335,               0.005545,               0.005545,               0.005545
                     93,                 1.0139,                0.89859,                 1.1009,                  0.608,                0.45472,                0.45265,                0.28015,                 1.3841,                 1.4417,                 1.3673,              0.0054955,              0.0054955,              0.0054955
                     94,                  1.025,                0.91628,                 1.1025,                0.59086,                0.45408,                0.44435,                0.27301,                 1.3809,                 1.4504,                 1.3345,               0.005446,               0.005446,               0.005446
                     95,                 1.0128,                0.91994,                 1.0954,                0.58001,                0.46483,                0.45498,                0.28179,                 1.3812,                 1.4325,                 1.3427,              0.0053965,              0.0053965,              0.0053965
                     96,                  1.017,                 0.9129,                 1.0942,                0.59777,                  0.459,                0.44632,                0.27499,                 1.3763,                 1.4542,                 1.3569,               0.005347,               0.005347,               0.005347
                     97,                 1.0136,                0.89326,                 1.0953,                 0.6204,                0.44656,                 0.4515,                0.27512,                 1.3895,                 1.4593,                 1.3569,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.0099,                0.88867,                 1.0961,                0.60341,                0.45239,                0.44612,                 0.2759,                  1.368,                 1.4483,                 1.3534,               0.005248,               0.005248,               0.005248
                     99,                 1.0165,                0.89286,                 1.0945,                0.59602,                  0.452,                0.44493,                0.27378,                 1.3872,                 1.4717,                  1.352,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.0088,                0.87877,                 1.0836,                0.62115,                0.44578,                0.44926,                0.27901,                 1.3962,                 1.4448,                  1.376,               0.005149,               0.005149,               0.005149
                    101,                 1.0044,                0.88666,                 1.0886,                0.61471,                0.44773,                0.44856,                0.27844,                 1.3807,                 1.4533,                 1.3628,              0.0050995,              0.0050995,              0.0050995
